MA8391,AD8401,AD8402,AD8403,AD8001,AD8411,AD8412,AD8413,HS8461
A,A,A+,A+,A,A,A+,A+,A
A,B+,A,A,A,A,A+,A+,A
A+,A+,A+,A+,A,A+,O,A+,A
O,A,A+,A+,A,A+,O,A+,A
A+,A,A,A+,B+,A+,A+,A+,A
A+,A,B+,A+,B+,A,A+,A+,A
O,A,A+,A+,A,A+,O,A+,A
A+,A,A+,A+,A,B+,A+,A+,A
A+,A,A,A+,B+,A+,O,A+,A
A+,A,A+,A+,A,O,O,A+,A
O,A+,A+,A+,B+,O,O,A+,A
O,B+,A+,A+,A,A+,A+,A+,A
A,A,A,A+,A,O,O,A+,A
A+,A,A,A+,A,A+,O,A,A
A+,B+,A,A,A,O,O,A+,A
O,A+,A+,A+,A,O,O,A+,A
A+,A,A,A+,B+,B+,A+,A+,A
A+,A,A,A+,A,A,A+,A+,A
A+,A,B+,A+,B+,B+,A+,A,A
A+,A,A,A+,A,A+,A+,A,A
A,A,B+,A+,A,B+,A+,A+,A
A,A,A+,A+,A,A+,O,A+,A
O,A+,A+,A+,A,A,O,A+,A
A+,A,A+,A+,A,A+,A+,A+,A
A+,A,A+,A,B+,A+,O,A,A
A+,A,A,A+,A,O,O,A+,A
A+,A,A,A+,A,A,O,A,A
A+,A,A,A,B+,A+,A+,A+,A
A,B+,A,A,A,O,A+,A+,A
O,A,A+,A+,A,O,O,A+,A
A+,A,A+,A+,A,O,O,A+,A
A+,A+,A+,A+,A,O,O,A,A
A,A,B+,A,B+,B+,A+,A+,A
A+,A,A,A+,A,A+,O,A+,A
A+,A,A,A+,A,A,A+,A,A
A+,A,A,A+,A,A,A+,A,A
A+,A+,A+,A+,A,A,A+,A+,A
O,A+,A+,A+,A,O,O,A+,A
A+,A,A,A+,A,A+,A+,A+,A
A+,A,A+,A+,B+,A,A+,A+,A
A+,B+,A+,A+,A,A+,A+,A,A
O,A+,A+,A+,A+,O,O,A+,A
O,A,A+,A+,A,O,O,A+,A
A+,A+,A+,A+,A+,A+,A+,A+,A
A+,A,A,A,A,A,A+,A+,A
A,A,A,A,B+,O,O,A+,A
A+,A,A+,A+,A,A,A+,A+,A
A+,A,A+,A+,A+,O,O,A+,A
O,A+,A+,B+,A,O,O,A+,A
A,A,A,A+,B+,A,A+,A+,A
A+,b+,A,A+,A,O,A+,A+,A
A+,A,A,A+,A,A,O,A+,A
A+,A,A,A+,A,A,O,A+,A
A+,B+,A,A+,B+,A,A+,A+,A
